ClaimSubmitted,DateOfIncident,Damages,District,Province,ClaimDetails,ClaimantsAssessment,AgreedPayment,DateClosed,Status
11 May 2010,1 Year Ago,Property Damage,Nad-e-Ali,Helmand,5 Rooms & 30 m of wall destroyed during fighting.,,,11 May 2010,D
12 May 2010,17 April 2010,Property Damage,Nad-e-Ali,Helmand,9 Rooms of compound destroyed,,,13 May 2010,D
12 May 2010,Unknown,Property Damage,Nad-e-Ali,Helmand,8 Rooms of Compound destroyed.,,,12 May 2010,D
12 May 2010,12 September 2009,Wounding ,Nad-e-Ali,Helmand,Brother wounded during fighting,,,13 May 2010,D
12 May 2010,09 March 2010,Property Damage,Nad-e-Ali,Helmand,"8 Rooms destroyed & 4 Rooms damaged, plus 150 m of wall damaged by fighting and ISAF vehicles. ",,,13 May 2010,D
12 May 2010,18 April 2010,Property Damage,Nad-e-Ali,Helmand,8 Rooms destroyed by mortars ,,,13 May 2010,D
12 May 2010,01 February 2010,Property Damage,Sangin,Helmand,50 m of wall demolished for security reasons.,,500.00,,W
12 May 2010,05 April 2010,Property Damage,Sangin,Helmand,Compound destroyed by air strike.,,"2,700.00",30 May 2010,S
12 May 2010,18 March 2010,Wounding ,Sangin,Helmand,LASM fired by ISAF fell short causing blast/fragment injury.,239.00,"1,000.00",17 July 2010,S
12 May 2010,01 December 2009,Property Damage,Sangin,Helmand,ISAF mini flare set shop alight. Shop burnt down with stock.,"7,594.00","1,000.00",10 July 2010,S
12 May 2010,25 February 2010,Property Damage,Sangin,Helmand,Controlled explosion of 15 Bar Mines in adjacent compound seriously misjudged effect of explosion. Would have removed mines if impact had been realised.,"1,123.00","2,275.00",19 July 2010,S
12 May 2010,14 March 2010,Property Damage,Nahr-e-Saraj,Helmand,"ANP occupied compound, damaging compound for own use.",1206.00,,12 May 2010,D
13 May 2010,18 Months Ago,Property Damage,Nad-e-Ali,Helmand,Compound destroyed,"30,375.00",,13 May 2010,D
13 May 2010,15 January 2010,Crop Damage,Nad-e-Ali,Helmand,Corn cannot be farmed on fields to give PB clear field of view.,"13,560.00","5,600.00",29 May 2010,S
13 May 2010,08 May 2010,Crop Damage,Nad-e-Ali,Helmand,Corn cannot be farmed on fields to give PB clear field of view.,8136.00,"3,900.00",29 May 2010,S
13 May 2010,08 May 2010,Crop Damage,Nad-e-Ali,Helmand,Corn cannot be farmed on fields to give PB clear field of view.,"24,408.00","7,500.00",29 May 2010,S
13 May 2010,11 May 2010,Crop Damage,Nad-e-Ali,Helmand,Corn cannot be farmed on fields to give PB clear field of view.,"13,560.00","5,600.00",29 May 2010,S
13 May 2010,10 May 2010,Crop Damage,Nad-e-Ali,Helmand,Corn cannot be farmed on fields to give PB clear field of view.,"24,408.00","7,500.00",29 May 2010,S
13 May 2010,10 May 2010,Crop Damage,Nad-e-Ali,Helmand,Corn cannot be farmed on fields to give PB clear field of view.,"10,848.00","4,850.00",29 May 2010,S
13 May 2010,10 May 2010,Crop Damage,Nad-e-Ali,Helmand,Corn cannot be farmed on fields to give PB clear field of view.,8136.00,"3,900.00",29 May 2010,S
13 May 2010,10 May 2010,Crop Damage,Nad-e-Ali,Helmand,Corn cannot be farmed on fields to give PB clear field of view.,8136.00,"3,900.00",29 May 2010,S
13 May 2010,2 or 3 May 2010,Property Damage,Nad-e-Ali,Helmand,"7 Rooms, wall of compound destroyed and cow killed during ISAF/TB fighting. ",,,13 May 2010,D
13 May 2010,15 April 2010,Property Damage,Nad-e-Ali,Helmand,4 Rooms destroyed & 4 Rooms damaged,,,13 May 2010,D
15 May 2010,20 March 2010,Property Damage,Nahr-e-Saraj,Helmand,ANP PVCP built on land,"1,421.00",950.00,12 June 2010,S
15 May 2010,c. 15 February 2010,Property Damage,Nad-e-Ali,Helmand,5 Rooms destroyed & 50 m of wall destroyed.,"3,471.00",375.00,29 May 2010,S
15 May 2010,01 August 2009,Property Damage,Nahr-e-Saraj,Helmand,Denied access to land at the front of PB. Soil used for Hesco fill.,,,07 June 2010,D
16 May 2010,14 May 2010,Property Damage,Nahr-e-Saraj,Helmand,ANP HQ GSK damaged in controlled explosion. Verified by PRT STRE. ,,0.00,04 November 2010,Misc. Closed
17 May 2010,15 March 2010,Crop Damage,Musa Qal'eh,Helmand,Military vehicles drove through crops.,,500.00,07 August 2010,S
17 May 2010,1 Year Ago,Property Damage,Nad-e-Ali,Helmand,Trees cut down for line of sight. Claim for Hellfire damage.,,727.50,03 July 2010,S
17 May 2010,4 months ago,Property Damage,Nad-e-Ali,Helmand,12 Rooms & gates destroyed during ISAF/INS contact.,"10,848.00",,25 May 2010,D
17 May 2010,12 May 2010,Wounding ,Nahr-e-Saraj,Helmand,Shot in crossfire. Is this date real? Wrist bracelet not delivered. 3000 Afs already paid. Check claim and d/b. 17/05/2010,,875.00,12 June 2010,S
17 May 2010,6 Months Ago,Property Damage,Nad-e-Ali,Helmand,Rocket attack destroyed 4 rooms & 80 m of wall.,"2,170.00",,26 July 2010,D
17 May 2010,4 months ago,Fatality,Nad-e-Ali,Helmand,Rocket attack caused fire which killed daughter.,,875.00,05 June 2010,S
17 May 2010,11 May 2010,Property Damage,Lashkar Gah,Helmand,Helicopter flares ignited firewood in compound and destroyed 2 tents & bedding,,835.00,29 May 2010,S
18 May 2010,01 May 2010,Property Damage,Kabul,Kabul,RTA,241.00,205.00,18 May 2010,S
18 May 2010,May 2009,Property Damage,Nad-e-Ali,Helmand,Compound destroyed.,,"3,650.00",30 October 2010,S
18 May 2010,12 May 2010,Crop Damage,Nad-e-Ali,Helmand,9 jerabs of wheat burnt by ISAF. Insufficient evidence likely. Check d/b. 18/5/10,"1,953.00","2,250.00",07 August 2010,S
19 May 2010,14 May 2010,Fatality,Nahr-e-Saraj,Helmand,Mother killed during fighting.,,,05 June 2010,D
20 May 2010,4/5 Months,Wounding ,Nad-e-Ali,Helmand,Boy injured during fighting.,,,02 October 2010,D
20 May 2010,15 May 2010,Crop Damage,Nad-e-Ali,Helmand,"Helicopter landed to deploy troops. Between landing & take off, harvested corn was blown onto neighbour's land. ",,90.00,12 June 2010,S
20 May 2010,15 May 2010,Crop Damage,Nahr-e-Saraj,Helmand,Wheat crop damaged by ISAF FPs.,,885.00,17 July 2010,S
20 May 2010,10 March 2010,Wounding ,Nad-e-Ali,Helmand,Claimant hit by ISAF fire.,,"2,500.00",29 May 2010,S
20 May 2010,18 May 2010,Crop Damage,Nad-e-Ali,Helmand,Harvested crops burnt.,,568.00,19 June 2010,S
23 May 2010,09 May 2010,Property Damage,Nahr-e-Saraj,Helmand,2Cows shot during TIC,,450.00,26 June 2010,S
23 May 2010,18 May 2010,Wounding ,Nad-e-Ali,Helmand,Nephew hit by stray bullet.,,,11 June 2010,D
24 May 2010,14 May 2010,Fatality,Marjah,Helmand,Father and brother shot.,,,24 May 2010,D
24 May 2010,23 May 2010,Crop Damage,Lashkar Gah,Helmand,Chinook dispensed flares and ignited crops.,12900.00,"5,300.00",29 May 2010,S
24 May 2010,2/3 Months Ago,Fatality,Nad-e-Ali,US AO,"During INS/ISAF fighting, tried to move family to safe area. Wife shot in head. ",,,03 June 2010,D
24 May 2010,2/3 Months Ago,Fatality,Nad-e-Ali,US AO,"During INS/ISAF fighting, brother tried to go to fields to water his wheat and was shot. ",,,03 June 2010,D
24 May 2010,18 Months Ago,Property Damage,Musa Qal'eh,Helmand,"During fighting, claimants lorry destroyed",,,27 May 2010,D
24 May 2010,20 May 2010,Property Damage,Nad-e-Ali,Helmand,Wheat crop caught fire during fighting ISAF/INS.,,225.00,10 July 2010,S
25 May 2010,5 Months Ago,Fatality,Nad-e-Ali,Helmand,Wife and son killed in crossfire,,,29 October 2010,D
25 May 2010,23 May 2010,Property Damage,Nad-e-Ali,Helmand,Compound damaged and contents burned during TIC,,600.00,,W
25 May 2010,17 May 2010,Property Damage,Nad-e-Ali,Helmand,Harvested crops burnt.,3254.00,,11 June 2010,D
25 May 2010,22 May 2010,Property Damage,Nad-e-Ali,Helmand,Compound damaged during TIC.,,,27 July 2010,D
25 May 2010,16 May 2001,Property Damage,Nad-e-Ali,Helmand,15 Jerabs of wheat burnt during operations.,"10,848.00","3,900.00",05 June 2010,S
26 May 2010,06 May 2010,Property Damage,Nad-e-Ali,Helmand,Damage to compound. ,"4,339.00","1,610.00",25 September 2010,S
26 May 2010,24 May 2010,Crop Damage,Nad-e-Ali,Helmand,7.5 Jerabs of wheat destryed,,"2,250.00",29 May 2010,S
26 May 2010,2 Months ago,Property Damage,Nad-e-Ali,Helmand,Compound damaged during fighting. Verified by MSST. Check d/b. 26/5/10,,400.00,26 June 2010,S
26 May 2010,25 May 2010,Property Damage,Lashkar Gah,Helmand,Military vehicle drove into his car.,,,28 May 2010,D
26 May 2010,4 months ago,Wounding ,Nad-e-Ali,Helmand,Compound hit by rocket and husband injured.,,,10 June 2010,D
26 May 2010,22 May 2010,Crop Damage,Nad-e-Ali,Helmand,5 Jerabs of wheat burnt.,,600.00,19 June 2010,S
26 May 2010,6 Months Ago,Property Damage,Nad-e-Ali,Helmand,8 Rooms & wall destroyed.,,400.00,05 June 2010,S
26 May 2010,1 month ago,Property Damage,Nad-e-Ali,Helmand,Compound destroyed during fighting. No witnesses. Was INS FP. Check d/b. 26/5/10,,400.00,05 June 2010,S
26 May 2010,20 February 2010,Property Damage,Bastion,Helmand,RTA,,"1,045.00",,W
26 May 2010,2 Months ago,Property Damage,Nad-e-Ali,Helmand,Compound damaged during fighting. Verified by MSST. Check d/b. 26/5/10,,"1,420.00",,W
27 May 2010,23 May 2010,Crop Damage,Nahr-e-Saraj,Helmand,Wheat stack damaged.,,"1,387.00",11 December 2010,S
27 May 2010,01 May 2006,Property Damage,Lashkar Gah,Helmand,Construction of indoor market stopped by ISAF,"11,000.00",,,I
27 May 2010,26 May 2010,Crop Damage,Lashkar Gah,Helmand,15 Jerabs of wheat burnt by helo flares.,,"2,925.00",12 June 2010,S
27 May 2010,last few months,Wounding ,Nad-e-Ali,Helmand,Daughter wounded during firefight with 50 cal & mortars,,"2,550.00",31 July 2010,S
27 May 2010,20/30 Days ago,Property Damage,Nad-e-Ali,Helmand,Various items during helo flare.,"2,170.00",380.00,19 June 2010,S
27 May 2010,01 May 2003,Property Damage,Lashkar Gah,Helmand,Construction of indoor market stopped by ISAF,"116,467.00","116,437.00",12 November 2010,S
27 May 2010,2 - 3 Weeks ago,Fatality,Nad-e-Ali,Helmand,Death of son due to injuries sustained from an illum casing. ,,"3,375.00",02 October 2010,S
27 May 2010,01 August 2009,Property Damage,Nahr-e-Saraj,Helmand,LR 153 paid as a single payment.,,400.00,24 July 2010,S
28 May 2010,14 April 2010,Property Damage,Nahr-e-Saraj,Helmand,Land clearance to improve arcs.,,"1,060.00",12 June 2010,S
28 May 2010,2009,Property Damage,Nahr-e-Saraj,Helmand,"Prevented from farming land , although not clear where.",,,28 May 2010,D
31 May 2010,17 May 2010,Wounding ,Nad-e-Ali,Helmand,Grenade fragmentation to left eye,,,01 June 2010,D
31 May 2010,15 - 20 Days Ago,Property Damage,Nad-e-Ali,Helmand,Fire gutted compound,,"2,200.00",19 June 2010,S
31 May 2010,12 May 2010,Wounding ,Nad-e-Ali,Helmand,Brother shot twice when caught in the crossfire ISAF/TB. Taken to Hospital.,,"1,166.00",17 July 2010,S
31 May 2010,26 May 2010,Crop Damage,Nad-e-Ali,Helmand,Harvested wheat blown away when MERT landed. ,,400.00,12 June 2010,S
31 May 2010,15 Days Ago,Crop Damage,Nad-e-Ali,Helmand,Wheat caught fire during TIC. Came with CC3670.,,,03 June 2010,D
31 May 2010,15 Days Ago,Crop Damage,Nad-e-Ali,Helmand,Wheat caught fire during TIC. Came with CC3669.,,,03 June 2010,D
31 May 2010,3/4 months ago,Fatality,US AO,Helmand,Boy killed in crossfire. Linked to CC3672 ,,,03 June 2010,D
31 May 2010,3/4 months ago,Fatality,US AO,Helmand,Brother killed in crossfire going to help shot nephew. Linked to CC3671 ,,,03 June 2010,D
01 June 2010,13 May 2010,Wounding ,Nad-e-Ali,Helmand,Son wounded during firefight.,"11,000.00",250.00,26 June 2010,S
01 June 2010,2/3 Months Ago,Property Damage,Nad-e-Ali,Helmand,Compound damaged by mortar fire.,,367.00,19 June 2010,S
01 June 2010,25 May 2010,Property Damage,Nad-e-Ali,Helmand,6 Rooms destroyed & harvest burnt during fighting.,,,04 June 2010,D
01 June 2010,28 May 2010,Property Damage,Nad-e-Ali,Helmand,Helo flares caused wheat fire.,,"3,100.00",18 December 2010,S
01 June 2010,20 Days ago,Property Damage,Nad-e-Ali,Helmand,Compound destroyed by Helo & mortars.,,,04 June 2010,D
01 June 2010,10 May 2010,Property Damage,Nahr-e-Saraj,Helmand,Flares from helo set field alight. ,,240.00,21 June 2010,S
01 June 2010,10 May 2010,Property Damage,Nahr-e-Saraj,Helmand,Flares from helo set field alight. ,,180.00,21 June 2010,S
01 June 2010,11 May 2010,Property Damage,Nad-e-Ali,Helmand,"8 Rooms damaged, livestock killed.",,,04 June 2010,D
02 June 2010,4/5 Days ago,Crop Damage,Nad-e-Ali,Helmand,20 Jerabs of wheat burnt.,"5,835.00",225.00,19 June 2010,S
02 June 2010,5/6 Days ago,Crop Damage,Nad-e-Ali,Helmand,11 Jerabs of stored wheat & 2 compounds destroyed.,,"1,950.00",17 July 2010,S
02 June 2010,8 Days ago,Property Damage,Nad-e-Ali,Helmand,Flare fire destroyed harvested wheat & 3 trees.,,990.00,12 June 2010,S
02 June 2010,3/4 months ago,Wounding ,Nahr-e-Saraj,Helmand,Car caught in crossfire and claimant shot in leg.,,,11 June 2010,D
02 June 2010,4 months ago,Property Damage,Sangin,Helmand,Land taken for Route       build.,,200.00,24 July 2010,S
02 June 2010,01 March 2010,Property Damage,Sangin,Helmand,Compound destroyed for field of view.,,"4,900.00",24 July 2010,S
03 June 2010,May 2009,Property Damage,Nad-e-Ali,Helmand,Compound destroyed by 500lb bomb.,"10,912.00",800.00,19 June 2010,S
03 June 2010,01 March 2010,Property Damage,Nahr-e-Saraj,Helmand,Compound taken over by ISAF ,436.00,905.00,12 June 2010,S
03 June 2010,5/6 Months ago,Property Damage,Nad-e-Ali,Helmand,Walls and rooves damaged,"4,365.00",430.00,12 June 2010,S
03 June 2010,6/7 Days ago,Property Damage,Nad-e-Ali,Helmand,6 Rooms  & motorcycle destroyed during fighting.,,"1,325.00",19 June 2010,S
03 June 2010,6/7 Days ago,Property Damage,Nad-e-Ali,Helmand,"3 Rooms + mobile, tractor & motorcycle destroyed during fighting.",,940.00,19 June 2010,S
03 June 2010,5/6 Months ago,Property Damage,Nad-e-Ali,Helmand,5 rooms damaged,,500.00,12 June 2010,S
05 June 2010,31 May 2010,Property Damage,Sangin,Helmand,Derelict property demolished.,,240.00,03 October 2010,S
06 June 2010,09 May 2010,Crop Damage,Nahr-e-Saraj,Helmand,20 Tons of harvested wheat destroyed,,"4,100.00",10 July 2010,S
07 June 2010,28 May 2010,Property Damage,Nad-e-Ali,Helmand,Money in house not claimed for during previous claim.,"6,000.00",,07 June 2010,D
07 June 2010,9/10 Days ago,Property Damage,Nad-e-Ali,Helmand,"Heavy munitions destroyed 4 rooms, 50m wall & cow.",,120.00,19 June 2010,S
07 June 2010,9/10 Days ago,Property Damage,Nad-e-Ali,Helmand,Heavy munitions & fire destroyed 3 rooms.,,600.00,12 June 2010,S
07 June 2010,6 Days ago,Crop Damage,Nad-e-Ali,Helmand,10 Jerabs of wheat  burnt during ISAF/INS contact.,,,07 June 2010,D
07 June 2010,29 May 2010,Property Damage,Nad-e-Ali,Helmand,45 fruit trees & 2 Jerabs of wheat burnt.,,,07 June 2010,D
07 June 2010,1/1.5 Months ago,Wounding ,Sangin,Helmand,Children hurt in IED explosion.,,,07 June 2010,D
08 June 2010,04 June 2010,Fatality,Nahr-e-Saraj,Helmand,Daughter killed in cross fire.,,"2,500.00",07 August 2010,S
08 June 2010,1 Year Ago,Crop Damage,Nad-e-Ali,Helmand,7 (or 47!) Jerabs of wheat burnt. No evidence or ID. No Further Action until real claimant turns up. 8/6/10,,,09 June 2010,D
08 June 2010,07 June 2010,Crop Damage,Nahr-e-Saraj,Helmand,Security Zone around PB. Represents North Side tenant farmers. ,,"30,720.00",03 July 2010,S
08 June 2010,07 June 2010,Crop Damage,Nahr-e-Saraj,Helmand,Security Zone around PB. Represents South Side tenant farmers. ,,"26,400.00",03 July 2010,S
08 June 2010,06 June 2010,Crop Damage,Nad-e-Ali,Helmand,5 Jerabs of wheat burnt.,,"1,500.00",10 July 2010,S
08 June 2010,06 June 2010,Crop Damage,Nahr-e-Saraj,Helmand,55 Jerabs of corn not to be grown for PB security.,,300.00,26 June 2010,S
08 June 2010,06 June 2010,Crop Damage,Nahr-e-Saraj,Helmand,25 Jerabs of corn not to be grown for PB security.,,250.00,26 June 2010,S
08 June 2010,06 June 2010,Crop Damage,Nahr-e-Saraj,Helmand,20 Jerabs of corn not to be grown for PB security.,,200.00,26 June 2010,S
08 June 2010,06 June 2010,Crop Damage,Nahr-e-Saraj,Helmand,12 Jerabs of corn not to be grown for PB security.,,120.00,26 June 2010,S
08 June 2010,06 June 2010,Crop Damage,Nahr-e-Saraj,Helmand,17 Jerabs of corn not to be grown for PB security. To bring ID.,,"2,040.00",31 July 2010,S
08 June 2010,06 June 2010,Crop Damage,Nahr-e-Saraj,Helmand,55 Jerabs of corn not to be grown for PB security.,,"6,600.00",31 July 2010,S
08 June 2010,06 June 2010,Crop Damage,Nahr-e-Saraj,Helmand,25 Jerabs of corn not to be grown for PB security.,,"2,750.00",31 July 2010,S
08 June 2010,06 June 2010,Crop Damage,Nahr-e-Saraj,Helmand,20 Jerabs of corn not to be grown for PB security.,,"2,200.00",24 July 2010,S
08 June 2010,06 June 2010,Crop Damage,Nahr-e-Saraj,Helmand,12 Jerabs of corn not to be grown for PB security.,,"1,320.00",31 July 2010,S
09 June 2010,09 May 2010,Property Damage,Nahr-e-Saraj,Helmand,3 Rooves burnt due to illum round.,"1,500.00",120.00,17 July 2010,S
09 June 2010,31 May 2010,Property Damage,Nad-e-Ali,Helmand,60 metres of wall and 3 rooms destroyed,,,11 June 2010,D
09 June 2010,29 May 2010,Property Damage,Nad-e-Ali,Helmand,Death of 2 cows during crossfire between ISAF & Ins,,200.00,19 June 2010,S
09 June 2010,April-May 10,Property Damage,Lashkar Gah,Helmand,Damage to 3 Compounds & 4 Shops,,"2,200.00",15 January 2011,S
09 June 2010,17 May 2010,Crop Damage,Nahr-e-Saraj,Helmand,1 Jerab of wheat burnt.,,150.00,,W
09 June 2010,03 May 2010,Property Damage,Nahr-e-Saraj,Helmand,Cow killed in cross fire.,400.00,100.00,17 July 2010,S
09 June 2010,29 May 2010,Property Damage,Nahr-e-Saraj,Helmand,Damage to compound when occupied for 4 days.,753.00,"1,730.00",26 June 2010,S
09 June 2010,30 May 2010,Property Damage,Nahr-e-Saraj,Helmand,Shop complex destroyed following Hellfire strike.,"11,500.00","4,300.00",09 December 2010,S
09 June 2010,30 May 2010,Property Damage,Nahr-e-Saraj,Helmand,Rented workshop destroyed following Hellfire strike.,"3,400.00","1,550.00",21 August 2010,S
10 June 2010,16 May 2010,Crop Damage,Nad-e-Ali,Helmand,20 Jerabs of wheat burnt.,7000.00,"1,425.00",19 June 2010,S
10 June 2010,09 June 2010,Crop Damage,Nahr-e-Saraj,Helmand,30 Jerabs of corn not to be grown for PB security.,,300.00,26 June 2010,S
10 June 2010,09 June 2010,Crop Damage,Nahr-e-Saraj,Helmand,48 Jerabs of corn not to be grown for PB3 & CP security.,,300.00,26 June 2010,S
10 June 2010,09 June 2010,Crop Damage,Nahr-e-Saraj,Helmand,10 Jerabs of corn not to be grown for PB security.,,100.00,26 June 2010,S
10 June 2010,09 June 2010,Crop Damage,Nahr-e-Saraj,Helmand,25 Jerabs of corn not to be grown for OP security.,,250.00,26 June 2010,S
10 June 2010,09 June 2010,Crop Damage,Nahr-e-Saraj,Helmand,22 Jerabs of corn not to be grown for PB3 security.,,220.00,26 June 2010,S
10 June 2010,23 May 2010,Crop Damage,Nahr-e-Saraj,Helmand,Wheat harvest burnt.,,,04 August 2010,D
10 June 2010,01 June 2010,Property Damage,Nahr-e-Saraj,Helmand,TRIDENT 2 Compound destroyed for roadway.,,"6,060.00",19 June 2010,S
10 June 2010,09 June 2010,Crop Damage,Nahr-e-Saraj,Helmand,30 Jerabs of corn not to be grown for PB security.,,"3,300.00",17 July 2010,S
10 June 2010,09 June 2010,Crop Damage,Nahr-e-Saraj,Helmand,48 Jerabs of corn not to be grown for PB & CP security.,,"5,460.00",17 July 2010,S
10 June 2010,09 June 2010,Crop Damage,Nahr-e-Saraj,Helmand,10 Jerabs of corn not to be grown for PB security.,,"1,100.00",17 July 2010,S
10 June 2010,09 June 2010,Crop Damage,Nahr-e-Saraj,Helmand,25 Jerabs of corn not to be grown for OP security.,,"2,750.00",17 July 2010,S
10 June 2010,09 June 2010,Crop Damage,Nahr-e-Saraj,Helmand,22 Jerabs of corn not to be grown for PB security.,,"2,420.00",17 July 2010,S
11 June 2010,28 May 2010,Wounding ,Nad-e-Ali,Helmand,ANP shot by ND.,"50,000.00","10,788.00",28 August 2010,S
12 June 2010,9 Weeks ago,Crop Damage,Nahr-e-Saraj,Helmand,Vehicles & helo damaged 0.5 Jerab of crops.,,125.00,07 August 2010,S
12 June 2010,30 May 2010,Crop Damage,Nahr-e-Saraj,Helmand,10 Jerabs of cut wheat burnt.,,975.00,07 August 2010,S
12 June 2010,06 June 2010,Property Damage,Nahr-e-Saraj,Helmand,"2 Rooms, walls and door destroyed. Livestock killed.",,"3,137.00",03 July 2010,S
12 June 2010,Jan - June 2010,Property Damage,Nahr-e-Saraj,Helmand,Part of field taken for Route .,,,19 June 2010,D
14 June 2010,08 June 2010,Crop Damage,Nad-e-Ali,Helmand,Flare fire destroyed harvested wheat ,"6,000.00","1,000.00",26 June 2010,S
14 June 2010,29 May 2010,Property Damage,Nad-e-Ali,Helmand,Wall breeched during Ops. Lot of damage claimed.,,460.00,31 July 2010,S
14 June 2010,24 Days ago,Property Damage,Nad-e-Ali,Helmand,8 Rooms destroyed,,,22 June 2010,D
14 June 2010,12 Days ago,Property Damage,Nad-e-Ali,Helmand,Cow shot and wounded,,,14 June 2010,D
14 June 2010,10/12 Days ago,Crop Damage,Nad-e-Ali,Helmand,1.5 jerabs of harvested wheat burned.,,450.00,03 July 2010,S
14 June 2010,5 Months Ago,Property Damage,Nad-e-Ali,Helmand,Compound destroyed by fighting.,,"2,600.00",26 June 2010,S
14 June 2010,30 May 2010,Crop Damage,Nahr-e-Saraj,Helmand,10 Jerabs of cut wheat burnt.,,975.00,,W
15 June 2010,06 June 2010,Crop Damage,Nad-e-Ali,Helmand,8 Jerabs of wheat burnt by helo flares,1000.00,"2,400.00",03 July 2010,S
15 June 2010,2/3 Weeks ago,Property Damage,Nad-e-Ali,Helmand,25 Grape Vines etc. ,20000.00,"1,050.00",26 June 2010,S
15 June 2010,05 June 2010,Property Damage,Nahr-e-Saraj,Helmand,36 Trees cut down,"49,000.00","1,080.00",26 June 2010,S
16 June 2010,25 days ago,Crop Damage,Nad-e-Ali,Helmand,3 Jerabs of wheat burnt,,263.00,30 October 2010,S
16 June 2010,13 June 2010,Property Damage,Nad-e-Ali,Helmand,"2 Buildings, 80m of wall & vegatation knocked down.","10,000.00","1,900.00",24 July 2010,S
17 June 2010,17 June 2010,Crop Damage,Nad-e-Ali,Helmand,20 Jerabs of corn not to be grown for CP security.,,200.00,26 June 2010,S
17 June 2010,8 Days ago,Crop Damage,Nad-e-Ali,Helmand,7 Jerabs of wheat burnt,,"1,500.00",10 July 2010,S
17 June 2010,8 Months Ago,Wounding ,Nad-e-Ali,Helmand,Son burnt in fire resulting from mortar round on compound,,,25 July 2010,D
17 June 2010,16 June 2010,Crop Damage,Nahr-e-Saraj,Helmand,30 Jerabs of corn not to be grown for Route Trident security.,,"3,600.00",03 July 2010,S
17 June 2010,12 Days ago,Crop Damage,Nahr-e-Saraj,Helmand,10 Jerabs of wheat burnt as a result of a TIC. ,,"1,500.00",10 July 2010,S
17 June 2010,6/7 Months ago,Property Damage,Nahr-e-Saraj,Helmand,15 Shops destroyed.,,,20 June 2010,D
17 June 2010,17 June 2010,Crop Damage,Nad-e-Ali,Helmand,20 Jerabs of corn not to be grown for CP security.,,"2,200.00",,W
18 June 2010,14 June 2010,Crop Damage,Nahr-e-Saraj,Helmand,7 Jerabs crop restrictions,,,18 June 2010,D
19 June 2010,02 June 2010,Property Damage,Nahr-e-Saraj,Helmand,"Mastiff reversed into house, collapsing roof.",830.00,830.00,12 August 2010,S
19 June 2010,12 June 2010,Property Damage,Nahr-e-Saraj,Helmand,Cow killed domestic damage by artillery fire.,,645.00,10 July 2010,S
19 June 2010,14 June 2010,Property Damage,Nahr-e-Saraj,Helmand,2 Sheep killed,,,22 June 2010,D
19 June 2010,14 June 2010,Crop Damage,Nahr-e-Saraj,Helmand,2 Jerabs of wheat blown away,600.00,400.00,03 July 2010,S
19 June 2010,14 June 2010,Crop Damage,Nahr-e-Saraj,Helmand,2 Jerabs of wheat burnt,,,15 August 2010,D
19 June 2010,31 March 2010,Property Damage,Nahr-e-Saraj,Helmand,Buidings damaged . Livestock injured & killed.,,500.00,31 July 2010,S
19 June 2010,11/12 Months ago,Property Damage,Nahr-e-Saraj,Helmand,Compound heavily damaged by AH  & AFV,,"1,125.00",17 July 2010,S
19 June 2010,05 June 2010,Wounding ,Nahr-e-Saraj,Helmand,Family members wounded. Livestock killed.,,350.00,04 September 2010,S
21 June 2010,30 April 2009,Fatality,Nahr-e-Saraj,Helmand,"Wife killed, son wounded & 5 rooms destroyed.",,"3,750.00",12 October 2010,S
21 June 2010,22 Days ago,Crop Damage,Nad-e-Ali,Helmand,27 Jerabs of wheat burnt by flare.,,"3,400.00",03 July 2010,S
21 June 2010,3 Months ago,Property Damage,Nad-e-Ali,Helmand,Helicopter destroyed tractor,,,21 June 2010,D
21 June 2010,01 February 2010,Property Damage,Nad-e-Ali,Helmand,Various damages identified. Arose from ISAF occupation.,,"1,460.00",03 July 2010,S
21 June 2010,21 February 2010,Fatality,Nad-e-Ali,Helmand,Father shot during TIC.,,,25 July 2010,D
21 June 2010,2 Months ago,Wounding ,Nad-e-Ali,Helmand,Father shot by ISAF patrol.,,,30 July 2010,D
21 June 2010,6 Months Ago,Property Damage,Musa Qal'eh,Helmand,Compound destroyed,,,30 July 2010,D
21 June 2010,02 June 2010,Property Damage,Nad-e-Ali,Helmand,"Crops, trees & vines destroyed.",,"1,620.00",31 July 2010,S
22 June 2010,07 June 2010,Wounding ,Nahr-e-Saraj,Helmand,Child wounded in face,,750.00,28 August 2010,S
22 June 2010,16 June 2010,Fatality,Nahr-e-Saraj,Helmand,Father shot dead,,,13 August 2010,D
22 June 2010,10 June 2009,Property Damage,Garmsir,Helmand,Clinc destroyed,,"5,977.00",31 July 2010,S
23 June 2010,16 June 2010,Crop Damage,Nahr-e-Saraj,Helmand,18 Jerabs of corn not to be grown for CP security.,,180.00,26 June 2010,S
23 June 2010,16 June 2010,Crop Damage,Nahr-e-Saraj,Helmand,18 Jerabs of corn not to be grown for CP security.,,"1,980.00",14 August 2010,S
24 June 2010,15 May 2010,Crop Damage,Sangin,Helmand,5 Khrawa's of wheat blown away,,"1,500.00",03 September 2010,S
24 June 2010,Jan- Feb 2010,Crop Damage,Sangin,Helmand,5 Khrawa's of lost crop,,750.00,03 September 2010,S
24 June 2010,07 June 2010,Crop Damage,Sangin,Helmand,5 - 6 Jaribs of wheat - damage to water pump is mentioned in witness statement,,750.00,03 September 2010,S
24 June 2010,20 May 2010,Crop Damage,Sangin,Helmand,3 Kharawa's of wheat and fruit blown from trees,,900.00,03 September 2010,S
